VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;VALKRETSKOD;VALKRETSNAMN;LÄNSKOD;LÄNSNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;ANMÄLNINGSDATUM;BESLUTSDATUM;DIARIENUMMER;REGISTRERADPARTIBETECKNING;ANMÄLDAKANDIDATER;DELTAGANDEGRUND
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Alternativ för Sverige;AfS;1325;2020-08-31;2020-09-10;200 101-20/98234;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Alternativ för Sverige;AfS;1325;2022-04-12;2022-04-12; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Arbetarepartiet-Socialdemokraterna;S;0002;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Arbetarepartiet-Socialdemokraterna;S;0002;2022-03-24;2022-03-24; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Centerpartiet;C;0004;2018-09-09;2018-09-09; ;J;J;R;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Centerpartiet;C;0004;2022-03-30;2022-03-30; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Common sense in Sweden;CSIS;1318;2020-11-26;2020-12-08;200144-20/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Direktdemokraterna;DD;1150;2021-01-24;2021-03-09;2 00 37-21/98234;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Direktdemokraterna;DD;1150;2022-04-29;2022-04-29; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Enad Politik; ;1589;2022-04-11;2022-04-21;VAL-291;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Enade Sverige; ;1448;2020-05-27;2020-06-16;200 73-20/98234;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Enhet;ENH;0189;2022-04-20;2022-05-23;VAL-322;J;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;EUSEC; ;1534;2022-02-08;2022-03-17;VAL-134;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;FAMILJENS FRIHET; ;1574;2022-03-16; ;VAL-252;N;N;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Feministiskt initiativ;FI;0532;2022-04-22;2022-04-22; ;J;J;K;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;Feministiskt initiativ;FI;0532;2022-01-24;2022-02-08;VAL-93;J;J;A;
RD;00;Riket;01;Stockholms kommun;01;Stockholm;FOLKOMROSTA2021.SE; ;1489;2021-09-14;2021-09-28;2 00 170-21/98234;N;N;A;
